,RF_AUC,RF_Prec,RF_Rec,SVM10_26_AUC,SVM10_26_Prec,SVM10_26_Rec,SVM40_10_AUC,SVM40_10_Prec,SVM40_10_Rec,iter
915,[-0.4783737],[ 0.0210084],[-0.14705882],[-0.46799308],[ 0.03316646],[-0.23529412],[-0.48356401],[-0.26470588],[-0.02941176],999
916,[-0.37802768],[-0.08654603],[-0.29411765],[-0.31228374],[-0.04871626],[-0.41176471],[-0.37802768],[-0.35483871],[-0.08823529],999
917,[-0.44463668],[-0.05],[-0.17647059],[-0.48269896],[-0.00212766],[-0.35294118],[-0.52595156],[-0.3],[-0.05882353],999
918,[-0.37629758],[-0.02080344],[-0.17647059],[-0.38148789],[ 0.01790281],[-0.23529412],[-0.37802768],[-0.26470588],[ 0.02941176],999
919,[-0.40051903],[-0.01034738],[-0.17647059],[-0.37283737],[-0.00515796],[-0.29411765],[-0.40570934],[-0.3030303],[-0.05882353],999
920,[-0.40916955],[-0.09078947],[-0.14705882],[-0.4316609],[-0.03919373],[-0.23529412],[-0.39705882],[-0.31578947],[ 0.05882353],999
921,[-0.40743945],[-0.20861833],[-0.41176471],[-0.38321799],[-0.19673203],[-0.44117647],[-0.40224913],[-0.44117647],[-0.26470588],999
922,[-0.37543253],[-0.20634921],[-0.35294118],[-0.32871972],[-0.13968254],[-0.47058824],[-0.37370242],[-0.42857143],[-0.26470588],999
923,[-0.31401384],[-0.17923186],[-0.17647059],[-0.29844291],[-0.07953216],[-0.23529412],[-0.32612457],[-0.36842105],[-0.02941176],999
924,[-0.38408304],[-0.08978328],[-0.17647059],[-0.33044983],[-0.08627451],[-0.32352941],[-0.34429066],[-0.35294118],[ 0.05882353],999
925,[-0.2949827],[-0.0530303],[-0.29411765],[-0.28460208],[-0.02643456],[-0.32352941],[-0.30017301],[-0.3030303],[-0.11764706],999
926,[-0.3884083],[-0.0989547],[-0.23529412],[-0.39186851],[-0.06024845],[-0.29411765],[-0.38321799],[-0.34285714],[ 0.05882353],999
927,[-0.3866782],[ 0.0037037],[-0.26470588],[-0.3884083],[-0.01970055],[-0.44117647],[-0.40743945],[-0.2962963],[-0.14705882],999
928,[-0.28027682],[-0.19347319],[-0.32352941],[-0.26989619],[-0.14764668],[-0.44117647],[-0.30103806],[-0.42424242],[-0.11764706],999
929,[-0.39965398],[-0.00297619],[-0.20588235],[-0.3650519],[-0.02083333],[-0.35294118],[-0.42560554],[-0.3125],[-0.11764706],999
930,[-0.43858131],[-0.12352941],[-0.26470588],[-0.42647059],[-0.07908497],[-0.32352941],[-0.45069204],[-0.32352941],[-0.11764706],999
931,[-0.36937716],[-0.13885089],[-0.32352941],[-0.42128028],[-0.13505402],[-0.44117647],[-0.41955017],[-0.44117647],[-0.11764706],999
932,[-0.28200692],[ 0.01029412],[-0.11764706],[-0.25605536],[ 0.04141657],[-0.26470588],[-0.30103806],[-0.26470588],[-0.02941176],999
